Timestamp,Distance,Moove
"2022-06-01 01:00:45",20,backward
"2022-06-01 01:00:45",19,backward
"2022-06-01 01:00:45",19,backward
"2022-06-01 01:00:46",19,backward
"2022-06-01 01:00:46",32,backward
"2022-06-01 01:00:46",32,backward
"2022-06-01 01:00:46",32,backward
"2022-06-01 01:00:46",19,backward
"2022-06-01 01:00:47",32,backward
"2022-06-01 01:00:47",32,backward
"2022-06-01 01:00:47",19,backward
"2022-06-01 01:00:47",19,backward
"2022-06-01 01:00:47",32,backward
"2022-06-01 01:00:48",19,backward
"2022-06-01 01:00:48",19,backward
"2022-06-01 01:00:48",19,backward
"2022-06-01 01:00:48",32,backward
"2022-06-01 01:00:48",32,backward
"2022-06-01 01:00:49",32,backward
"2022-06-01 01:00:49",20,backward
"2022-06-01 01:00:49",32,backward
"2022-06-01 01:00:49",32,backward
"2022-06-01 01:00:49",19,backward
"2022-06-01 01:00:50",20,backward
"2022-06-01 01:00:50",20,backward
"2022-06-01 01:00:50",19,backward
"2022-06-01 01:00:50",32,backward
"2022-06-01 01:00:51",32,backward
"2022-06-01 01:00:51",32,backward
"2022-06-01 01:00:51",19,backward
"2022-06-01 01:00:52",32,backward
"2022-06-01 01:00:52",33,backward
"2022-06-01 01:00:53",20,backward
"2022-06-01 01:00:54",19,backward
"2022-06-01 01:00:55",20,backward
"2022-06-01 01:00:55",32,backward
"2022-06-01 01:00:56",32,backward
"2022-06-01 01:00:56",19,backward
"2022-06-01 01:00:56",19,backward
"2022-06-01 01:00:57",32,backward
"2022-06-01 01:00:57",32,backward
"2022-06-01 01:00:57",19,backward
"2022-06-01 01:00:58",19,backward
"2022-06-01 01:00:58",32,backward
"2022-06-01 01:00:58",32,backward
"2022-06-01 01:00:59",20,backward
"2022-06-01 01:00:59",32,backward
"2022-06-01 01:00:59",19,backward
"2022-06-01 01:01:00",19,backward
"2022-06-01 01:01:00",20,backward
"2022-06-01 01:01:01",19,backward
"2022-06-01 01:01:01",32,backward
"2022-06-01 01:01:02",32,backward
"2022-06-01 01:01:02",32,backward
"2022-06-01 01:01:03",19,backward
"2022-06-01 01:01:03",32,backward
"2022-06-01 01:01:03",19,backward
"2022-06-01 01:01:04",32,backward
"2022-06-01 01:01:05",32,backward
"2022-06-01 01:01:05",33,backward
"2022-06-01 01:01:05",32,backward
"2022-06-01 01:01:06",32,backward
"2022-06-01 01:01:07",32,backward
"2022-06-01 01:01:07",32,backward
"2022-06-01 01:01:07",32,backward
"2022-06-01 01:01:08",19,backward
"2022-06-01 01:01:09",32,backward
"2022-06-01 01:01:10",33,backward
"2022-06-01 01:01:11",32,backward
"2022-06-01 01:01:12",32,backward
"2022-06-01 01:01:13",32,backward
"2022-06-01 01:01:13",32,backward
"2022-06-01 01:01:14",32,backward
"2022-06-01 01:01:14",32,backward
"2022-06-01 01:01:15",32,backward
"2022-06-01 01:01:15",32,backward
"2022-06-01 01:01:16",33,backward
"2022-06-01 01:01:16",32,backward
"2022-06-01 01:01:17",19,backward
"2022-06-01 01:01:17",20,backward
"2022-06-01 01:01:18",19,backward
"2022-06-01 01:01:19",32,backward
"2022-06-01 01:01:20",32,backward
"2022-06-01 01:01:20",32,backward
"2022-06-01 01:01:21",19,backward
"2022-06-01 01:01:21",19,backward
"2022-06-01 01:01:21",32,backward
"2022-06-01 01:01:21",32,backward
"2022-06-01 01:01:22",19,backward
"2022-06-01 01:01:22",32,backward
"2022-06-01 01:01:23",19,backward
"2022-06-01 01:01:23",33,backward
"2022-06-01 01:01:24",19,backward
"2022-06-01 01:01:24",32,backward
"2022-06-01 01:01:25",19,backward
"2022-06-01 01:01:26",32,backward
"2022-06-01 01:01:27",19,backward
"2022-06-01 01:01:28",32,backward
"2022-06-01 01:01:29",20,backward
"2022-06-01 01:01:30",19,backward
"2022-06-01 01:01:32",32,backward
"2022-06-01 01:01:32",19,backward
"2022-06-01 01:01:33",32,backward
"2022-06-01 01:01:33",33,backward
"2022-06-01 01:01:34",32,backward
"2022-06-01 01:01:35",32,backward
"2022-06-01 01:01:35",20,backward
"2022-06-01 01:01:36",33,backward
"2022-06-01 01:01:36",19,backward
"2022-06-01 01:01:37",20,backward
"2022-06-01 01:01:37",19,backward
"2022-06-01 01:01:38",32,backward
"2022-06-01 01:01:38",33,backward
"2022-06-01 01:01:40",20,backward
"2022-06-01 01:01:41",19,backward
"2022-06-01 01:01:42",20,backward
"2022-06-01 01:01:42",20,backward
"2022-06-01 01:01:43",32,backward
"2022-06-01 01:01:44",20,backward
"2022-06-01 01:01:45",20,backward
"2022-06-01 01:01:46",32,backward
"2022-06-01 01:01:46",32,backward
"2022-06-01 01:01:47",20,backward
"2022-06-01 01:01:48",33,backward
"2022-06-01 01:01:49",33,backward
"2022-06-01 01:01:50",32,backward
"2022-06-01 01:01:51",32,backward
"2022-06-01 01:01:52",32,backward
"2022-06-01 01:01:53",32,backward
"2022-06-01 01:01:54",32,backward
