Timestamp,Distance,Moove
"2022-05-31 23:29:03",115,backward
"2022-05-31 23:29:05",115,backward
"2022-05-31 23:29:05",116,backward
"2022-05-31 23:29:07",115,backward
"2022-05-31 23:29:08",116,backward
"2022-05-31 23:29:09",115,backward
"2022-05-31 23:29:10",115,backward
"2022-05-31 23:29:11",115,backward
"2022-05-31 23:29:12",116,backward
"2022-05-31 23:29:13",116,backward
"2022-05-31 23:29:14",115,backward
"2022-05-31 23:29:15",116,backward
"2022-05-31 23:29:16",115,backward
"2022-05-31 23:29:17",2,urgenceStop
"2022-05-31 23:29:18",1,urgenceStop
"2022-05-31 23:29:19",5,urgenceStop
