Timestamp,Distance,Moove
"2022-05-31 23:39:45",18,left
"2022-05-31 23:39:46",16,left
"2022-05-31 23:39:47",18,left
"2022-05-31 23:39:48",17,left
"2022-05-31 23:39:49",17,left
"2022-05-31 23:39:50",17,left
"2022-05-31 23:39:51",17,left
"2022-05-31 23:39:52",17,left
"2022-05-31 23:39:53",16,left
"2022-05-31 23:39:54",18,left
"2022-05-31 23:39:55",18,left
"2022-05-31 23:39:56",17,left
"2022-05-31 23:39:57",17,left
"2022-05-31 23:39:58",8,left
"2022-05-31 23:39:59",7,urgenceStop
"2022-05-31 23:40:00",1,urgenceStop
"2022-05-31 23:40:01",6,urgenceStop
