Timestamp,Distance
"2022-05-31 11:28:00",219
"2022-05-31 11:28:00",219
"2022-05-31 11:28:01",219
"2022-05-31 11:28:03",219
"2022-05-31 11:28:04",219
"2022-05-31 11:28:05",219
"2022-05-31 11:28:06",219
"2022-05-31 11:28:08",219
"2022-05-31 11:28:09",219219219
"2022-05-31 11:28:10",219
"2022-05-31 11:28:11",219
"2022-05-31 11:28:11",519
"2022-05-31 11:28:12",519
"2022-05-31 11:28:13",219
"2022-05-31 11:28:13",519
"2022-05-31 11:28:14",219
"2022-05-31 11:28:14",520
"2022-05-31 11:28:15",219
"2022-05-31 11:28:15",519
"2022-05-31 11:28:16",219
"2022-05-31 11:28:16",519
"2022-05-31 11:28:17",219
"2022-05-31 11:28:17",2
"2022-05-31 11:28:18",2202
"2022-05-31 11:28:18",0
"2022-05-31 11:28:19",19219
"2022-05-31 11:28:19",219
"2022-05-31 11:28:20",219
"2022-05-31 11:28:20",220
"2022-05-31 11:28:21",219
"2022-05-31 11:28:21",220
"2022-05-31 11:28:22",220
"2022-05-31 11:28:23",220
"2022-05-31 11:28:24",220
"2022-05-31 11:28:25",220
"2022-05-31 11:28:26",220
"2022-05-31 11:28:27",220
"2022-05-31 11:28:28",220
"2022-05-31 11:28:29",220
"2022-05-31 11:28:30",220
"2022-05-31 11:28:31",220
"2022-05-31 11:28:32",220
"2022-05-31 11:28:33",220
"2022-05-31 11:28:35",220
"2022-05-31 11:28:36",220
"2022-05-31 11:28:37",220
"2022-05-31 11:28:38",220
"2022-05-31 11:28:38",219
"2022-05-31 11:28:39",220
"2022-05-31 11:28:40",220
"2022-05-31 11:28:41",220
"2022-05-31 11:28:42",220
"2022-05-31 11:28:43",220
"2022-05-31 11:28:44",2
"2022-05-31 11:28:45",519
"2022-05-31 11:28:46",6
"2022-05-31 11:28:47",23
"2022-05-31 11:28:48",1
"2022-05-31 11:28:49",219
"2022-05-31 11:28:50",219
"2022-05-31 11:28:51",219
"2022-05-31 11:28:52",219
"2022-05-31 11:28:53",219
"2022-05-31 11:28:54",219
"2022-05-31 11:28:55",219
"2022-05-31 11:28:59",219
"2022-05-31 11:29:00",219
"2022-05-31 11:29:01",219
"2022-05-31 11:29:02",219
"2022-05-31 11:29:03",2
"2022-05-31 11:29:04",3
"2022-05-31 11:29:05",11
"2022-05-31 11:29:06",8
"2022-05-31 11:29:07",5
"2022-05-31 11:29:08",219
"2022-05-31 11:29:09",219
"2022-05-31 11:29:10",219
"2022-05-31 11:29:11",219
"2022-05-31 11:29:12",219
"2022-05-31 11:29:13",220
"2022-05-31 11:29:14",220
"2022-05-31 11:29:15",219
"2022-05-31 11:29:16",219
"2022-05-31 11:29:17",220
"2022-05-31 11:29:18",219
"2022-05-31 11:29:19",220
"2022-05-31 11:29:20",219
"2022-05-31 11:29:21",219
"2022-05-31 11:29:22",219
"2022-05-31 11:29:24",219
"2022-05-31 11:29:25",219
"2022-05-31 11:29:26",219
"2022-05-31 11:29:27",220
"2022-05-31 11:29:28",219
"2022-05-31 11:29:29",219
"2022-05-31 11:29:30",219
"2022-05-31 11:29:31",219
"2022-05-31 11:29:32",219
"2022-05-31 11:29:33",219
"2022-05-31 11:29:34",219
"2022-05-31 11:29:35",219
"2022-05-31 11:29:36",219
"2022-05-31 11:29:37",219
"2022-05-31 11:29:38",219
"2022-05-31 11:29:39",219
"2022-05-31 11:29:40",219
"2022-05-31 11:29:41",219
"2022-05-31 11:29:42",219
"2022-05-31 11:29:43",219
"2022-05-31 11:29:44",219
"2022-05-31 11:29:45",219
"2022-05-31 11:29:46",219
"2022-05-31 11:29:47",219
"2022-05-31 11:29:48",219
"2022-05-31 11:29:49",219
"2022-05-31 11:29:50",220
"2022-05-31 11:29:51",219
"2022-05-31 11:29:52",219
"2022-05-31 11:29:53",219
