Timestamp,Distance,Moove
"2022-05-31 23:36:44",18,left
"2022-05-31 23:36:45",17,left
"2022-05-31 23:36:46",17,left
"2022-05-31 23:36:48",18,right
"2022-05-31 23:36:49",16,right
"2022-05-31 23:36:50",17,right
"2022-05-31 23:36:51",17,right
"2022-05-31 23:36:52",18,right
"2022-05-31 23:36:53",18,right
"2022-05-31 23:36:54",8,right
"2022-05-31 23:36:55",6,right
"2022-05-31 23:36:56",4,right
"2022-05-31 23:36:57",1,right
"2022-05-31 23:36:58",3,urgenceStop
"2022-05-31 23:36:59",3,urgenceStop
"2022-05-31 23:37:00",0,right
"2022-05-31 23:37:01",17,right
"2022-05-31 23:37:02",17,right
"2022-05-31 23:37:03",18,right
